"","Estimate","Std. Error","t value","Pr(>|t|)","q","b","se","up","do","model","star","var","n"
"q2 rodizio",0.0480688852028393,0.0223798836239707,2.14786126731033,0.0317271712800339,2,0.0480688852028393,0.0223798836239707,0.0919334571058219,0.00420431329985674,"rodizio","*","q2",101266
"q3 rodizio",0.0224854146823192,0.0273420977192731,0.822373429909495,0.410866355748735,3,0.0224854146823192,0.0273420977192731,0.0760759262120945,-0.0311050968474561,"rodizio"," ","q3",101266
"q_71 rodizio",0,0,0,0,-1,0,0,0,0,"rodizio","***","q_71",101266
"q_7 other",-0.0110009990032519,0.0615610355847365,-0.178700681344281,0.858172977958776,-7,-0.0110009990032519,0.0615610355847365,0.109658630742832,-0.131660628749335,"other"," ","q_7",150157
"q_6 other",-0.0943310814438879,0.0505310185403411,-1.86679556772796,0.0619321109295584,-6,-0.0943310814438879,0.0505310185403411,0.00470971489518063,-0.193371877782956,"other"," ","q_6",150157
"q_5 other",0.0424226421735198,0.0407654087912927,1.04065293177144,0.298038349842004,-5,0.0424226421735198,0.0407654087912927,0.122322843404453,-0.0374775590574139,"other"," ","q_5",150157
"q_4 other",-0.0307073866974664,0.0326744651546912,-0.939797684586054,0.347322875470558,-4,-0.0307073866974664,0.0326744651546912,0.0333345650057282,-0.0947493384006611,"other"," ","q_4",150157
"q_3 other",-0.112210199258682,0.0238027539860872,-4.71416876065136,2.42919205002169e-06,-3,-0.112210199258682,0.0238027539860872,-0.0655568014459511,-0.158863597071413,"other","***","q_3",150157
"q_2 other",-0.0822465978183778,0.0152180769110852,-5.40453293138948,6.50771883568445e-08,-2,-0.0822465978183778,0.0152180769110852,-0.0524191670726508,-0.112074028564105,"other","***","q_2",150157
"q0 other",-0.00798358359489498,0.0138616038138593,-0.57594948622848,0.564650198270698,0,-0.00798358359489498,0.0138616038138593,0.0191851598802692,-0.0351523270700591,"other"," ","q0",150157
"q1 other",0.031326377794259,0.0201983740039258,1.55093562423245,0.120919243319874,1,0.031326377794259,0.0201983740039258,0.0709151908419536,-0.00826243525343551,"other"," ","q1",150157
"q2 other",0.0337703299506027,0.0256058081300222,1.31885429192949,0.187219863446616,2,0.0337703299506027,0.0256058081300222,0.0839577138854461,-0.0164170539842408,"other"," ","q2",150157
"q3 other",-0.0334475628537389,0.0310865901774366,-1.07594826781665,0.28195214143877,3,-0.0334475628537389,0.0310865901774366,0.0274821538940369,-0.0943772796015147,"other"," ","q3",150157
"q_71 other",0,0,0,0,-1,0,0,0,0,"other","***","q_71",150157
