"","b","se","t","p","m","v","n","star"
"mQ3 m3",-0.38926590968504,0.106281968224031,3.66257716327297,0.00024969050443785,"m3","mQ3",26649,"***"
"mQ4 m3",-0.446216199710987,0.0793784290034147,5.62137856988567,1.89439632497175e-08,"m3","mQ4",26649,"***"
"mQ5 m3",-0.389185603383805,0.060247174349442,6.459815046702,1.04831025385877e-10,"m3","mQ5",26649,"***"
"camera m3",-0.0514273787901459,0.071974012883335,0.714527045664471,0.474901338417472,"m3","camera",26649," "
"camera_D m3",0.13634179865456,0.116909012937176,1.16622145058933,0.243524921988644,"m3","camera_D",26649," "
"Q0 m0c",-0.185050195546309,0.0407145197091394,-4.54506640059345,5.54500065557351e-06,"m0c","Q0",12105,"***"
"Q1 m0c",-0.202579114475536,0.0423888635307375,-4.77906453728441,1.78183137824075e-06,"m0c","Q1",12105,"***"
"Q2 m0c",-0.23003816107788,0.0449637627409111,-5.11607897238047,3.16728503652253e-07,"m0c","Q2",12105,"***"
"Q3 m0c",-0.302421423273936,0.0369864537184895,-8.17654554220633,3.21116017763727e-16,"m0c","Q3",12105,"***"
"Q4 m0c",-0.426202237439049,0.0357576737814944,-11.9191824402073,1.43026000787461e-32,"m0c","Q4",12105,"***"
"Q5 m0c",-0.368655945974752,0.0392608611956668,-9.3899098172467,7.07113982848674e-21,"m0c","Q5",12105,"***"
"mQ0 m0c",-0.257538861352055,0.0636592710939583,-4.04558294379367,5.25171381315631e-05,"m0c","mQ0",12105,"***"
"mQ1 m0c",-0.438797401936854,0.0501608499247928,-8.74780635883865,2.46154408883244e-18,"m0c","mQ1",12105,"***"
"mQ2 m0c",-0.306534405982482,0.105450896482852,-2.90689236608178,0.00365701168263834,"m0c","mQ2",12105,"**"
"mQ3 m0c",-0.404669075080969,0.093582926268842,-4.32417633445709,1.54328136864245e-05,"m0c","mQ3",12105,"***"
"mQ4 m0c",-0.538882531870089,0.0578764782030821,-9.31090744635861,1.48445673239557e-20,"m0c","mQ4",12105,"***"
"mQ5 m0c",-0.50964695405193,0.0407401975097758,-12.5096829471589,1.09824658016947e-35,"m0c","mQ5",12105,"***"
"camera m0c",-0.0997765721840406,0.086420962001723,1.1545413273929,0.248278305382371,"m0c","camera",12105," "
"camera_D m0c",0.170767680827991,0.141818771028699,1.20412607999145,0.228540851154875,"m0c","camera_D",12105," "
"t m0c",-0.0671752752592357,0.0145045077716129,4.63133781007762,3.63310540383078e-06,"m0c","t",12105,"***"
"log_fuel m0c",2.14973218132702,0.235446017769132,9.13046736443407,6.82042087472779e-20,"m0c","log_fuel",12105,"***"
"log_cameras m0c",0.0117181026263005,0.0624363725377507,0.187680708375801,0.85112695401197,"m0c","log_cameras",12105," "
